,bus_count,last_update,msg_count,segment_id,traffic
344,1,2013-02-10T23:50:32,9,782,16
345,3,2013-01-18T23:50:32,16,942,17
346,1,2014-12-18T23:50:32,7,484,33
347,1,2014-12-20T23:50:32,1,808,30
348,0,2013-02-05T23:50:32,0,908,-1
349,0,2014-12-06T23:50:32,0,255,-1
350,1,2013-02-18T23:50:32,4,835,25
351,1,2014-12-01T23:50:32,2,1303,23
352,2,2013-01-15T23:50:32,8,513,23
353,3,2013-01-28T23:50:32,16,364,29
354,0,2014-12-27T23:50:32,0,706,-1
355,3,2013-02-06T23:50:32,4,859,29
356,0,2014-12-05T23:50:32,0,829,-1
357,1,2014-12-09T23:50:32,2,883,20
358,1,2013-01-16T23:50:32,5,99,20
359,0,2014-12-14T23:50:32,0,1050,-1
360,1,2014-12-12T23:50:32,5,363,29
361,0,2014-12-23T23:50:32,0,1001,-1
362,1,2014-12-04T23:50:32,15,488,21
363,0,2013-02-14T23:50:32,0,565,-1
364,0,2014-12-28T23:50:32,0,374,-1
365,0,2013-02-09T23:50:32,0,1216,-1
366,2,2013-02-28T23:50:32,10,1133,35
367,1,2014-12-27T23:50:32,1,1217,26
368,1,2014-12-03T23:50:32,6,1101,23
369,1,2013-01-22T23:50:32,2,133,28
370,1,2014-12-08T23:50:32,10,625,22
371,0,2014-12-13T23:50:32,0,949,-1
372,0,2014-12-15T23:50:32,0,842,-1
373,1,2014-12-05T23:50:32,8,1282,17
374,1,2014-11-28T23:50:32,5,118,16
375,0,2014-12-09T23:50:32,0,199,-1
376,0,2013-02-10T23:50:32,0,1193,-1
377,3,2013-01-23T23:50:32,17,629,24
378,2,2013-01-21T23:50:32,11,506,30
379,3,2014-12-22T23:50:32,17,1213,20
380,2,2013-01-30T23:50:32,9,642,25
381,1,2014-11-26T23:50:32,7,1241,25
382,0,2013-02-10T23:50:32,0,322,-1
383,3,2014-12-29T23:50:32,16,803,25
384,0,2013-02-20T23:50:32,0,966,-1
385,6,2013-01-29T23:50:32,19,498,14
386,0,2014-12-22T23:50:32,0,832,-1
387,0,2013-02-20T23:50:32,0,1059,-1
388,1,2013-01-28T23:50:32,9,1274,18
389,1,2013-01-26T23:50:32,12,573,16
390,1,2014-12-24T23:50:32,5,881,23
391,1,2014-12-04T23:50:32,11,845,16
392,0,2013-02-26T23:50:32,0,1037,-1
393,1,2014-12-30T23:50:32,6,642,31
394,1,2013-02-25T23:50:32,1,111,26
395,1,2014-12-01T23:50:32,4,72,23
396,0,2013-01-30T23:50:32,0,955,-1
397,7,2013-02-01T23:50:32,40,1301,16
398,1,2014-11-25T23:50:32,10,505,26
399,2,2013-01-22T23:50:32,10,144,24
400,1,2013-01-20T23:50:32,8,624,18
401,0,2013-02-04T23:50:32,0,316,-1
402,0,2013-02-03T23:50:32,0,1242,-1
403,4,2014-12-05T23:50:32,27,228,14
404,1,2014-11-28T23:50:32,7,31,19
405,1,2014-12-26T23:50:32,5,683,20
406,1,2014-11-28T23:50:32,4,385,30
407,1,2013-02-28T23:50:32,8,718,35
408,1,2013-02-17T23:50:32,3,1104,26
409,0,2014-12-07T23:50:32,0,895,-1
410,0,2014-12-01T23:50:32,0,1230,-1
411,1,2014-12-07T23:50:32,8,501,25
412,1,2013-02-06T23:50:32,2,877,20
413,1,2014-12-28T23:50:32,4,178,11
414,1,2013-02-12T23:50:32,6,62,31
415,3,2013-02-22T23:50:32,30,1104,18
416,1,2013-01-30T23:50:32,6,822,22
417,1,2014-12-11T23:50:32,4,296,23
418,0,2014-12-05T23:50:32,0,946,-1
419,0,2014-12-19T23:50:32,0,759,-1
420,1,2013-02-23T23:50:32,5,1242,35
421,1,2014-12-12T23:50:32,2,1189,22
422,0,2013-01-16T23:50:32,0,121,-1
